"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"COL4A1",1.35772303710041,6.49443107794399,6.25331511999109,3.33993466504759e-08,5.06839491990015e-06,8.6610510395108,"Upregulated"
"COL5A2",1.46773516824662,5.91716585477635,6.25184181106466,3.35978932860683e-08,5.06839491990015e-06,8.65540555612133,"Upregulated"
"S100A10",1.03006905049823,7.38640599611426,6.24207649599892,3.49438007771645e-08,5.09222776142228e-06,8.61799411406251,"Upregulated"
"CALU",1.34223796647383,7.54104810828717,6.2417951081629,3.49833653611028e-08,5.09222776142228e-06,8.61691630068445,"Upregulated"
"PRKDC",1.0595261292239,6.09462566852876,6.21385140792983,3.91418744325927e-08,5.53912111950442e-06,8.50993812768115,"Upregulated"
"CBFB",1.04590366961029,6.55987514380727,6.15340685592733,4.98875618863692e-08,6.535530346226e-06,8.27892340227563,"Upregulated"
"MSN",1.36637179876453,7.9449252377322,6.13778964630789,5.3109771787651e-08,6.65870528247895e-06,8.21932421370765,"Upregulated"
"SFRP4",2.07271119730432,5.72198263434167,6.13362206622877,5.40039538224179e-08,6.65870528247895e-06,8.20342596671517,"Upregulated"
"CLDN1",1.59033116589495,5.60216750562414,6.07319813200723,6.87746085197806e-08,7.81704260506051e-06,7.9732278019021,"Upregulated"
"WSB1",1.08666499232526,6.79379799400787,5.97505703634888,1.01728474497939e-07,1.01843248854318e-05,7.60059908636998,"Upregulated"
"FCGR2C",1.19841083220922,5.60712756464248,5.97280935801925,1.02642752272034e-07,1.01991247377373e-05,7.59208397043762,"Upregulated"
"FNDC1",2.1405477775416,5.50762965817578,5.94408921680554,1.15065947771924e-07,1.11011880077169e-05,7.48335776326727,"Upregulated"
"SRPX2",1.0525916768546,4.86908922263316,5.91971419691202,1.26768290223421e-07,1.18847062597031e-05,7.39119492960959,"Upregulated"
"FSTL1",1.31054929059759,7.68786923329556,5.84984842730374,1.67235105912934e-07,1.4453642434996e-05,7.12762671824871,"Upregulated"
"MSR1",1.01676485008585,4.70424170732052,5.83133699166802,1.79946154965882e-07,1.50809418964841e-05,7.0579445982019,"Upregulated"
"HSPH1",1.08750901708514,6.46406909581071,5.77198351808592,2.27492031170269e-07,1.78910083660637e-05,6.83496620491733,"Upregulated"
"FCGR2A",1.15587950314793,5.82128153754198,5.76948825322944,2.29742120416772e-07,1.79706507645576e-05,6.82560712940506,"Upregulated"
"STK3",1.00990460298646,6.09017298056862,5.76405736046039,2.34715659644388e-07,1.81156821215767e-05,6.80524156902454,"Upregulated"
"MXRA5",1.50350822508198,6.63039641338006,5.75520896638505,2.43047622216335e-07,1.85006066195315e-05,6.77207315490772,"Upregulated"
"BICC1",1.50861008154301,5.88604903399577,5.74612504743788,2.51905195130439e-07,1.88293459819572e-05,6.73803819129115,"Upregulated"
"RAB31",1.74058916411444,7.92628145066607,5.71078238550758,2.89503892150182e-07,2.07070154583626e-05,6.6057780287277,"Upregulated"
"PLXDC2",1.57279079259796,7.21497485247475,5.70804572973681,2.92636301125099e-07,2.08412308191841e-05,6.59554751884752,"Upregulated"
"FBN1",1.68778260423377,6.86773157857222,5.61594807260076,4.19985811628273e-07,2.64990287382493e-05,6.25217577635465,"Upregulated"
"MMP14",1.25499478396663,7.05354258443894,5.56404837110892,5.14421464586832e-07,3.05485255346042e-05,6.05948685600705,"Upregulated"
"ASPN",2.10728464725695,6.63233255671401,5.55920454101225,5.24236558895008e-07,3.07281993574859e-05,6.04153383101745,"Upregulated"
"IFI16",1.30912588848556,7.13035547921775,5.48696540066198,6.94507529156144e-07,3.60145560588033e-05,5.77442813485273,"Upregulated"
"TGFBI",1.22260822357033,6.73231186570464,5.48215965847917,7.07595620753576e-07,3.63524511789004e-05,5.75670200686572,"Upregulated"
"PON2",1.14690407352321,6.46688737017026,5.47637802599924,7.23663752143683e-07,3.67231691225452e-05,5.73538353664765,"Upregulated"
"OLFML2B",1.61752523529575,5.82570495908502,5.47485685995593,7.27950707678944e-07,3.68280915951963e-05,5.72977589928512,"Upregulated"
"CCN4",1.02373157138738,5.12170277433957,5.40929940068363,9.38496850943633e-07,4.3868779562137e-05,5.48863460236384,"Upregulated"
"PDPN",1.03001340403348,5.94035866901115,5.40562219513679,9.51937795999891e-07,4.4124178175481e-05,5.47513978040417,"Upregulated"
"SNORD78",1.03952138907175,6.11995190617927,5.38317413381968,1.03819581473142e-06,4.70705501356643e-05,5.39283152425481,"Upregulated"
"DAB2",1.06898210649455,6.38521350515501,5.32830115985006,1.28275015859176e-06,5.43009084991623e-05,5.19216963262062,"Upregulated"
"LOC100190986",1.1466519166684,6.48257070529846,5.31103565716201,1.37081943164887e-06,5.70109715508305e-05,5.12919248732877,"Upregulated"
"SMG1P1",1.05741901540068,7.31296952912832,5.29270015192938,1.47085711561392e-06,5.89550796533753e-05,5.06239775382755,"Upregulated"
"ANTXR1",1.1889765163456,6.6624859693531,5.2830670373507,1.52625596410872e-06,5.99042935590315e-05,5.02734062153256,"Upregulated"
"TIMP2",1.29059035786954,7.71270113267977,5.28293509400892,1.52702881616671e-06,5.99042935590315e-05,5.02686061987763,"Upregulated"
"MIR548H2",1.20646595577845,8.00253674615161,5.28060930574061,1.54071533531478e-06,6.00155640239751e-05,5.01840030602436,"Upregulated"
"MYH10",1.29267490536537,5.87674889584607,5.2616075073816,1.65714502482024e-06,6.29260058166294e-05,4.94933316497573,"Upregulated"
"FAP",1.35288090334208,4.09642829758454,5.24809188010423,1.7451785544014e-06,6.42117359905474e-05,4.90026593741089,"Upregulated"
"ADAMTS12",1.15537902939311,4.43484763995913,5.23351894890605,1.84524894230872e-06,6.64209565047092e-05,4.84741564035349,"Upregulated"
"ANLN",1.05711895078527,5.20760362309468,5.2105206863048,2.01475160633356e-06,6.95068360821187e-05,4.76412794404162,"Upregulated"
"GPX8",1.13925849065208,4.93113049366466,5.20237062712866,2.07841612639739e-06,7.12587545484262e-05,4.73464762880031,"Upregulated"
"CTSC",1.02518917424836,6.76853012235109,5.1973591260567,2.11854019398694e-06,7.22035049659943e-05,4.71652921310465,"Upregulated"
"PLA2G7",1.23509082607503,5.32364287282954,5.18533129510222,2.21796895694575e-06,7.42325401519887e-05,4.67307270860297,"Upregulated"
"EDNRA",1.2442907402864,5.52566195812746,5.1226267918764,2.81530938093739e-06,8.65134145690278e-05,4.44718290742385,"Upregulated"
"MIR548I4",1.44446465655319,8.13616602002416,5.11839927346751,2.86083111052618e-06,8.70284747480451e-05,4.43199397275001,"Upregulated"
"HIF1A",1.16638965322159,7.535450376598,5.11438303375707,2.90474626189906e-06,8.76400572172135e-05,4.41756893141574,"Upregulated"
"LAMC1",1.16706012107221,6.90807980320903,5.10224564659846,3.04151893925436e-06,9.06913013987126e-05,4.37400384060686,"Upregulated"
"MIR548AI",1.20986366642645,8.97474759858363,5.07918067437033,3.31905706635811e-06,9.60645913941878e-05,4.29133486297531,"Upregulated"
"CSGALNACT2",1.00314297275629,5.91445492686589,5.07843941416172,3.32837659569407e-06,9.60645913941878e-05,4.28868065253073,"Upregulated"
"ITGA5",1.22840975719333,6.51281992488784,5.05853259902878,3.58847839378779e-06,0.000100927475366974,4.21746183424449,"Upregulated"
"NORAD",1.02836366208443,7.39171980053776,5.0125499724528,4.26782537806347e-06,0.000113637959658075,4.05340851557312,"Upregulated"
"ANKRD10-IT1",1.16542311968219,5.16530338885027,4.99347835025805,4.58520817906969e-06,0.000119071900662727,3.98555506137531,"Upregulated"
"GLIPR1",1.18765135110625,6.18220693239275,4.98303639749818,4.76865577409281e-06,0.000122083319800085,3.94845194066006,"Upregulated"
"MIR5047",1.02585840068812,7.72532805842986,4.93314705898565,5.74913458441131e-06,0.000137070602433508,3.77165147851286,"Upregulated"
"MIR548AD",1.07814087987263,9.61740406516341,4.91599252826901,6.12986850743812e-06,0.000142463638672869,3.71104025331522,"Upregulated"
"FCER1G",1.13224130951749,6.08747560886167,4.91066311733317,6.25309606089264e-06,0.000144043172303019,3.69222929497439,"Upregulated"
"MIR548AJ2",1.03128709353446,9.01169373043663,4.88836358706039,6.79552296551788e-06,0.000152179363144134,3.6136190628679,"Upregulated"
"HEG1",1.05924184450989,6.68072360325366,4.86526856618879,7.4057651349972e-06,0.00016085244325935,3.53237495754215,"Upregulated"
"NID2",1.0241531088135,5.51052265133242,4.85275470114749,7.75847462588949e-06,0.000167012287412155,3.48842654037011,"Upregulated"
"CTSK",1.2283019760602,6.49508615014456,4.82271669366916,8.67347228624809e-06,0.000179909498897501,3.38314559503366,"Upregulated"
"IGFBP7",1.08152565057053,8.55924865746335,4.81901427561287,8.79330674369775e-06,0.000181487726498657,3.37018975898827,"Upregulated"
"DPYSL3",1.15165718268335,6.36854591995251,4.79585671084312,9.58038136307518e-06,0.000190697608777572,3.28925951281702,"Upregulated"
"MIR548G",1.01946544737274,8.63095301405468,4.76269793908283,1.0828369224762e-05,0.000207489559948847,3.17369499282187,"Upregulated"
"TPX2",1.02083716633289,5.59873764290915,4.75102490353933,1.13044057510923e-05,0.000214138480631992,3.13310223158401,"Upregulated"
"STOM",1.02161823684501,7.3893433901243,4.72669724908791,1.23630718311675e-05,0.000225195185473538,3.04865542604593,"Upregulated"
"PLEK",1.27522295540046,5.17338743745755,4.68146352036555,1.4594544270499e-05,0.000252010268079772,2.89219239703034,"Upregulated"
"SOD2",1.00536574883936,7.22397838004489,4.64070792882153,1.69381367025476e-05,0.000276344834062828,2.75184610541302,"Upregulated"
"SLC2A3",1.32369701373656,6.93830775904158,4.63751912186114,1.71362440792244e-05,0.000276344834062828,2.7408905088102,"Upregulated"
"SERPINE1",1.51874814625804,6.24460953270263,4.62309418310487,1.80609698242984e-05,0.000285704226181513,2.69137806184458,"Upregulated"
"DOCK11",1.10063775160729,5.42504565115881,4.6171138488324,1.84584407717256e-05,0.000289781803373713,2.67087343951817,"Upregulated"
"CD93",1.16434782076231,6.58567846944524,4.60719379463249,1.91366195103688e-05,0.000297744734815929,2.63688987722659,"Upregulated"
"CCN2",1.15817581392797,7.61312642077165,4.59418730534429,2.00626603718104e-05,0.000304960837505963,2.59238818933849,"Upregulated"
"CYBB",1.40494516659176,7.21546353777411,4.58488448312551,2.07516217880523e-05,0.000311931271455417,2.56059720246652,"Upregulated"
"LOX",1.17177788619754,5.49358125826796,4.58472374505028,2.07637260778354e-05,0.000311931271455417,2.56004818834006,"Upregulated"
"ANXA1",1.22926091428811,6.24256767799021,4.58233491450128,2.09444277578673e-05,0.000313109760553198,2.55189007971556,"Upregulated"
"GUCY1A1",1.10187846344146,5.53800595618095,4.57990081903481,2.11301278158711e-05,0.00031503444831677,2.54357958315881,"Upregulated"
"GJA1",1.15375985585826,6.18191449324614,4.57816843128869,2.12632689818447e-05,0.000316734906180189,2.53766621118864,"Upregulated"
"CALCRL",1.01569705999054,5.09067809342129,4.55857328035712,2.28272581240231e-05,0.000333081530957144,2.47085821815101,"Upregulated"
"ADAMTS9",1.03318427257351,5.30913351734712,4.5397302904373,2.44364888628114e-05,0.000346557048366768,2.40675157835792,"Upregulated"
"LAMA4",1.03024230923775,6.42204815231919,4.53932229345349,2.44725254516808e-05,0.000346557048366768,2.40536500550085,"Upregulated"
"A2M",1.0501112973466,8.50365827848396,4.50649964547247,2.75473463545926e-05,0.000376231000335893,2.29402656498263,"Upregulated"
"TALAM1",1.15589654901385,7.13615286066997,4.46392869703518,3.20992717959059e-05,0.00041408874161954,2.15024226278129,"Upregulated"
"SERPINF1",1.23192622048326,7.20168618379948,4.46124008518133,3.24100776620898e-05,0.000415802346660705,2.14118524780161,"Upregulated"
"LAPTM5",1.22601605522411,8.28997629332599,4.46111796554724,3.24242639857149e-05,0.000415802346660705,2.14077393612001,"Upregulated"
"GREM1",1.6346619525499,8.32316468670994,4.46015955086173,3.25358101815237e-05,0.000416588915240898,2.13754609958778,"Upregulated"
"CXCL8",1.76910302541852,5.35279423401436,4.41719358839893,3.79380024931086e-05,0.000461203819319153,1.9932159045839,"Upregulated"
"MIR548AN",1.05041601500244,7.12155309943185,4.36576179750116,4.55551567928967e-05,0.000523143440706801,1.82142391964509,"Upregulated"
"HMCN1",1.08850554419253,4.33496176914424,4.34156405862388,4.96332176310701e-05,0.000554248730397023,1.74097302524785,"Upregulated"
"VCAM1",1.26623350953437,5.55271885996134,4.29945737451022,5.75878824010295e-05,0.000612654225186589,1.60155988511301,"Upregulated"
"HSPA1B",1.06556696990443,7.20639882404539,4.2828361986303,6.10565501500586e-05,0.000639241810045617,1.54673312969005,"Upregulated"
"TYROBP",1.025235624327,8.1560683651887,4.26055075303315,6.60260841733722e-05,0.000675767545528807,1.47340638013294,"Upregulated"
"MMP2",1.02688095943788,6.7830824231881,4.20094476836949,8.13178780927326e-05,0.000776320529121282,1.27833312680403,"Upregulated"
"SFRP2",1.71278433231201,7.49544844150957,4.19992460131125,8.16073053079429e-05,0.000777824023136131,1.27500787578553,"Upregulated"
"FPR3",1.01445760307034,4.98340989737122,4.17283890718843,8.96661755385465e-05,0.000826163529642777,1.18688924634437,"Upregulated"
"PTGS2",1.3558253941448,5.23527503778409,4.1658463529965,9.18684223227794e-05,0.00083761791210121,1.16419289185919,"Upregulated"
"CCDC80",1.29990677995403,6.71573958188453,4.15085230916427,9.67681450576427e-05,0.000865644527809446,1.11559878594871,"Upregulated"
"SRGN",1.08318165074308,7.64956314521771,4.13524629311921,0.000102135485233632,0.000898511441265972,1.06512818006999,"Upregulated"
"ADAM12",1.23629372045087,5.13473289730428,4.11441130051323,0.000109750740348215,0.000947556600071949,0.997917806765481,"Upregulated"
"CDH5",1.0065728160565,6.40504003901576,4.09276172584577,0.000118243007314286,0.000994992121386038,0.928288422229286,"Upregulated"
"H19",1.13304049358945,7.27590328342612,4.05739745822418,0.000133494281398526,0.0010811147415945,0.815011902520713,"Upregulated"
"IFI30",1.09960679886923,8.29455362568908,4.05614286546973,0.000134068747392878,0.00108267734687554,0.811003879593645,"Upregulated"
"PECAM1",1.07405682198972,6.10347858373105,4.05348756634482,0.000135292448281427,0.00108929785870063,0.802523456310445,"Upregulated"
"F2RL2",1.33691576691511,5.58823552245574,4.0497975034905,0.000137010902556834,0.00109886849542199,0.790743670378369,"Upregulated"
"C3",1.35243060190133,8.01904595802573,4.01211874578058,0.000155804780694013,0.00119529566844034,0.670825813807685,"Upregulated"
"CCN1",1.04694985887874,6.62277409155364,4.00699841446203,0.000158542804560334,0.00120737003160816,0.654581129519513,"Upregulated"
"CEMIP",1.14857808613638,4.63261989411871,3.98813156619029,0.000169036737947516,0.00125728177028287,0.594831586283357,"Upregulated"
"CHI3L1",1.06575913023681,5.54259099520109,3.98319855888388,0.000171888837904332,0.00127222273692439,0.579237105314204,"Upregulated"
"TOP2A",1.13360233819356,4.9980414015925,3.92299988045889,0.000210642793285715,0.00146742643586709,0.389875070077363,"Upregulated"
"MGP",1.27330101580543,7.83848168875717,3.87774563305489,0.000245166246311953,0.00162601466478839,0.248683621080215,"Upregulated"
"FGF7",1.04559730182247,4.16400629629124,3.83292101330085,0.000284674929098117,0.00180508054010476,0.109833010085841,"Upregulated"
"OLR1",1.1397048207491,4.6931199246991,3.81241771362412,0.000304716328473552,0.00190092584762787,0.0466574075157871,"Upregulated"
"MIR548X",1.04589967233001,4.82309627216631,3.77033153560019,0.000350168660676524,0.0020914019258158,-0.0823504820430374,"Upregulated"
"EMP1",1.22464223401184,7.68192528713858,3.73199142792613,0.000397162313778295,0.00227337407203761,-0.199082116849561,"Upregulated"
"TNFAIP6",1.12392504628002,4.99718283264076,3.58503442830232,0.000639344502870177,0.00318345758738241,-0.639321013904013,"Upregulated"
"IGF1",1.21789455378105,5.50870291610682,3.56531573056349,0.00068096692164418,0.00332743377437088,-0.697504035776055,"Upregulated"
"PI15",1.29653022693827,4.3426005573488,3.55557190922134,0.000702473086410253,0.00339651468411764,-0.726175551717396,"Upregulated"
"PI3",1.43605607747713,6.10918825261333,3.52157641222772,0.000782671316933571,0.00369387025972573,-0.825795800221121,"Upregulated"
"MRC1",1.04056783815743,5.81456139592874,3.52038618226127,0.000785630914790542,0.0037005881159228,-0.82927196641862,"Upregulated"
"C4BPA",1.29191286840114,4.24603039704072,3.36980214001132,0.00125899748949855,0.00523956801151945,-1.26256365958783,"Upregulated"
"ABCC9",1.0842557541916,5.72767688745002,3.29428622983205,0.00158769664197204,0.00619328586668641,-1.47487909865083,"Upregulated"
"SELL",1.07834706634807,5.03706975076628,3.2882572766454,0.00161715883348019,0.00627722425327959,-1.49168300267084,"Upregulated"
"MMP7",1.3522807460599,5.12008232064207,3.27387528822243,0.00168953158999882,0.00647783900287441,-1.53168005161471,"Upregulated"
"CCL18",1.42932245593347,5.80143451811823,3.25797872688125,0.00177306633599969,0.00673432428005924,-1.57574365987448,"Upregulated"
"MMP1",1.86150613556894,6.44268137373895,3.1672448105804,0.00232909789364445,0.00824073570301406,-1.82428760551547,"Upregulated"
"CEACAM6",1.41850027462651,6.93823386993277,3.11606798236892,0.00271092880190582,0.00921975923065982,-1.96221702908941,"Upregulated"
"CXCL5",1.52662600851566,5.74399730155526,2.96261522758714,0.00423524290441591,0.0129762962990911,-2.36575642015129,"Upregulated"
"SELE",1.10059919861508,4.78859538194876,2.89507527249087,0.00513154680498852,0.0150393655390285,-2.53847437804845,"Upregulated"
"MMP12",1.31588945283699,4.42951439990935,2.55495756234595,0.0129285956994127,0.0307007895014389,-3.36047761740074,"Upregulated"
"MUC12",1.03533933598941,5.506954695841,2.42548314032799,0.0180251611596759,0.0397646269986257,-3.65149440186842,"Upregulated"
"CCKBR",-1.03158008918488,5.30738729002356,-8.71687049502917,1.36511608494575e-12,1.87888870360354e-08,18.2852472429831,"Downregulated"
"ATP4B",-4.25387271359713,5.84941665622033,-8.59370842164728,2.264539838018e-12,1.87888870360354e-08,17.8043161886118,"Downregulated"
"CHGA",-1.63428671243974,5.30193882982548,-8.31819260637758,7.03965466938188e-12,3.89386765279076e-08,16.7258741130255,"Downregulated"
"ATP4A",-3.58775853610856,5.78485600698345,-8.05253908066497,2.10498634124145e-11,6.15514291918144e-08,15.6835302273351,"Downregulated"
"SLC5A5",-1.84963090392945,4.97952640538327,-7.97378333183023,2.91306861915631e-11,6.15514291918144e-08,15.3742110930668,"Downregulated"
"SST",-2.14126479758814,5.12554404549995,-7.9693037119672,2.96740649351883e-11,6.15514291918144e-08,15.3566142208241,"Downregulated"
"PXMP2",-1.15710922321787,5.52188348412386,-7.70998414278773,8.64960405781649e-11,1.43531529735407e-07,14.3376956596103,"Downregulated"
"KCNQ1",-1.0600368784796,5.55008835168347,-7.66860605900242,1.02591751634168e-10,1.5476432060158e-07,14.1751097982333,"Downregulated"
"PSCA",-2.44788376071649,6.1982311438684,-7.23184132151392,6.19926299751734e-10,4.47263348612186e-07,12.4607870148849,"Downregulated"
"AKR7A3",-1.4315103818841,5.45654647389612,-7.17306501285853,7.89286588930515e-10,5.05739192831352e-07,12.230550925169,"Downregulated"
"VSIG2",-1.8432389504366,5.90689471717443,-7.16618061341311,8.11925121232366e-10,5.05739192831352e-07,12.2035939785863,"Downregulated"
"B4GALNT3",-1.09703908697839,4.85678191954547,-7.15434109293566,8.52382024109512e-10,5.05739192831352e-07,12.1572397932316,"Downregulated"
"KCNE2",-3.10260716412774,4.96109087302045,-7.13527947519998,9.21781339649477e-10,5.27449639660118e-07,12.0826240413068,"Downregulated"
"CAPN13",-1.05866835055582,4.134017531834,-7.10891229264172,1.02715429233105e-09,5.49825752481984e-07,11.9794413992683,"Downregulated"
"MFSD4A",-1.78501281451982,5.28682554677139,-6.77498571706899,4.02954032617639e-09,1.33732384345142e-06,10.676425981314,"Downregulated"
"LIPF",-4.75504158918474,5.72881035704016,-6.54233355261873,1.03865862169451e-08,2.46445563353339e-06,9.77392560819138,"Downregulated"
"CAPN9",-1.67299338087098,4.34845826939388,-6.42330579077048,1.6823378501614e-08,3.10688614942866e-06,9.31436758986438,"Downregulated"
"GKN1",-4.73831189232512,6.32005168181336,-6.42270766679062,1.68641276489549e-08,3.10688614942866e-06,9.31206243054062,"Downregulated"
"GKN2",-3.906686795575,5.66519533770249,-6.21798904185837,3.84965426907489e-08,5.50699680526109e-06,8.5257713947142,"Downregulated"
"CYSTM1",-1.09162144844288,6.94887134732946,-6.14885331102923,5.08065213127127e-08,6.535530346226e-06,8.26154210871195,"Downregulated"
"GCNT4",-1.61394595472958,4.29839160939845,-6.07634724923629,6.79143767465078e-08,7.81704260506051e-06,7.98521080013876,"Downregulated"
"LGALS9C",-1.22178078135099,6.16034990610048,-6.07485974264074,6.83193769776404e-08,7.81704260506051e-06,7.97955035254944,"Downregulated"
"ERLN",-1.50986328868318,4.89474287953812,-6.00699316449393,8.95761670003642e-08,9.40776528610154e-06,7.7216795723571,"Downregulated"
"TMEM171",-1.27631688311376,5.66214229464908,-5.96714956227396,1.04981130145938e-07,1.02802035270376e-05,7.57064624119055,"Downregulated"
"MUC6",-2.41634801770656,7.05071254021032,-5.9224145910087,1.25415948836218e-07,1.18247287215239e-05,7.40140000112019,"Downregulated"
"TFF2",-2.26720881594949,6.57880413002597,-5.84544626897878,1.7017500837569e-07,1.45911430246499e-05,7.11104991258852,"Downregulated"
"SLC9A2",-1.49792671532108,4.02385625971938,-5.83765354086847,1.75505016404224e-07,1.48588277663862e-05,7.08171452326479,"Downregulated"
"PGC",-3.91068618482611,8.18945283694653,-5.80028964210935,2.03442367933816e-07,1.65486404583027e-05,6.94122086962556,"Downregulated"
"FA2H",-1.02110032531159,4.79157902695699,-5.76727794681695,2.31753601519545e-07,1.79706507645576e-05,6.81731788961468,"Downregulated"
"CXCL17",-2.7414841504147,5.84962578230686,-5.74276704544944,2.55259598355011e-07,1.89945191708657e-05,6.72546088026204,"Downregulated"
"ALDOB",-2.04182661991166,5.54406113608573,-5.71585301145832,2.83787230827613e-07,2.05640406478315e-05,6.62473775809188,"Downregulated"
"SULT1B1",-1.40935957245153,4.02972336007468,-5.64213093511432,3.79056174373671e-07,2.44501287609572e-05,6.34961021876983,"Downregulated"
"SLC9A3",-1.41900254830177,5.06083037229021,-5.61381703075635,4.23502817634709e-07,2.66197187720847e-05,6.24425208695371,"Downregulated"
"HOMER2",-1.13637473874082,5.24149970106036,-5.60274208483842,4.42253628380068e-07,2.73834205572345e-05,6.2030890180636,"Downregulated"
"CCKAR",-1.90235767749962,4.44370250570834,-5.58215532494837,4.79309594913733e-07,2.91342982344267e-05,6.12664472636973,"Downregulated"
"TMPRSS2",-1.10983257653096,5.82306442103179,-5.55972647860204,5.23170140218531e-07,3.07281993574859e-05,6.04346806945706,"Downregulated"
"PGA4",-4.10855987178348,7.97829908475671,-5.52610106848323,5.96436550640202e-07,3.3101231174995e-05,5.91898321179749,"Downregulated"
"PGA3",-4.0118996472664,7.99963724601192,-5.51966637890175,6.11567871278271e-07,3.3794402948129e-05,5.8951909244176,"Downregulated"
"SLC26A9",-1.403044730908,4.69627669927998,-5.50459156001303,6.48513565373528e-07,3.46604825936473e-05,5.83948939737567,"Downregulated"
"PGA5",-4.04366791608477,8.00588535647459,-5.48993215131936,6.86547154520873e-07,3.58256713274194e-05,5.78537381332447,"Downregulated"
"SLC2A12",-1.42012165302462,4.36968040339388,-5.46053244098194,7.69566467170501e-07,3.84644155308051e-05,5.67699735390564,"Downregulated"
"CA9",-1.44709353673671,5.03868593315026,-5.4249864915366,8.83225029876869e-07,4.21156211085539e-05,5.54624147871449,"Downregulated"
"LINC00261",-1.78690003369026,5.04608795932925,-5.4186944614875,9.04998473573875e-07,4.26293770326593e-05,5.52312831283818,"Downregulated"
"PBLD",-1.1033105976428,4.7839895148513,-5.40787979912766,9.43663504990948e-07,4.39863825893814e-05,5.48342446959193,"Downregulated"
"PIK3C2G",-1.70717570385389,3.91567197863169,-5.3905260423739,1.00913101225065e-06,4.60041758716686e-05,5.41977424312625,"Downregulated"
"CLIC6",-1.86515250771144,5.80439741430872,-5.35261054965227,1.16811290144199e-06,5.12365913458284e-05,5.28097050553016,"Downregulated"
